code,region,tipo_de_indicador,periodo,total
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2005,192.691
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2004,173.044
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2003,142.637
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2002,138.006
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2001,124.334
03,"Asturias, Principado de",Volumen de agua disponible para su potabilización,2000,113.550
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2022,88.873
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2020,91.532
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2018,103.868
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2016,114.295
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2014,107.859
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2013,123.572
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2012,89.094
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2011,81.755
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2010,89.912
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2009,89.531
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2008,93.780
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2007,88.694
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2006,85.330
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2005,93.429
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2004,98.869
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2003,70.815
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2002,70.792
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2001,64.715
04,"Balears, Illes",Volumen de agua disponible no potabilizada,2000,78.758
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2022,125.249
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2020,114.713
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2018,119.815
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2016,154.546
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2014,115.980
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2013,127.773
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2012,111.961
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2011,105.112
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2010,103.954
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2009,112.982
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2008,118.211
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2007,121.637
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2006,137.026
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2005,149.271
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2004,137.121
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2003,108.546
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2002,102.663
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2001,83.874
04,"Balears, Illes",Volumen de agua disponible para su potabilización,2000,97.917
05,Canarias,Volumen de agua disponible no potabilizada,2022,333.265
05,Canarias,Volumen de agua disponible no potabilizada,2020,269.035
05,Canarias,Volumen de agua disponible no potabilizada,2018,230.188
05,Canarias,Volumen de agua disponible no potabilizada,2016,255.924
05,Canarias,Volumen de agua disponible no potabilizada,2014,246.514
05,Canarias,Volumen de agua disponible no potabilizada,2013,262.685
05,Canarias,Volumen de agua disponible no potabilizada,2012,172.494
05,Canarias,Volumen de agua disponible no potabilizada,2011,192.755
05,Canarias,Volumen de agua disponible no potabilizada,2010,210.284
05,Canarias,Volumen de agua disponible no potabilizada,2009,203.355
05,Canarias,Volumen de agua disponible no potabilizada,2008,215.366
05,Canarias,Volumen de agua disponible no potabilizada,2007,233.451
05,Canarias,Volumen de agua disponible no potabilizada,2006,186.532
05,Canarias,Volumen de agua disponible no potabilizada,2005,200.825
05,Canarias,Volumen de agua disponible no potabilizada,2004,193.797
05,Canarias,Volumen de agua disponible no potabilizada,2003,165.142
05,Canarias,Volumen de agua disponible no potabilizada,2002,173.114
05,Canarias,Volumen de agua disponible no potabilizada,2001,166.678
05,Canarias,Volumen de agua disponible no potabilizada,2000,164.031
05,Canarias,Volumen de agua disponible para su potabilización,2022,324.117
05,Canarias,Volumen de agua disponible para su potabilización,2020,288.979
05,Canarias,Volumen de agua disponible para su potabilización,2018,271.547
05,Canarias,Volumen de agua disponible para su potabilización,2016,308.104
05,Canarias,Volumen de agua disponible para su potabilización,2014,252.656
05,Canarias,Volumen de agua disponible para su potabilización,2013,270.452
05,Canarias,Volumen de agua disponible para su potabilización,2012,295.043
05,Canarias,Volumen de agua disponible para su potabilización,2011,271.345
05,Canarias,Volumen de agua disponible para su potabilización,2010,261.582
05,Canarias,Volumen de agua disponible para su potabilización,2009,275.230
05,Canarias,Volumen de agua disponible para su potabilización,2008,264.858
05,Canarias,Volumen de agua disponible para su potabilización,2007,292.164
05,Canarias,Volumen de agua disponible para su potabilización,2006,247.362
05,Canarias,Volumen de agua disponible para su potabilización,2005,287.770
05,Canarias,Volumen de agua disponible para su potabilización,2004,272.562
05,Canarias,Volumen de agua disponible para su potabilización,2003,234.969
05,Canarias,Volumen de agua disponible para su potabilización,2002,220.540
05,Canarias,Volumen de agua disponible para su potabilización,2001,202.105
05,Canarias,Volumen de agua disponible para su potabilización,2000,181.581
06,Cantabria,Volumen de agua disponible no potabilizada,2022,60.790
06,Cantabria,Volumen de agua disponible no potabilizada,2020,47.298
06,Cantabria,Volumen de agua disponible no potabilizada,2018,48.024
06,Cantabria,Volumen de agua disponible no potabilizada,2016,50.021
06,Cantabria,Volumen de agua disponible no potabilizada,2014,42.743
06,Cantabria,Volumen de agua disponible no potabilizada,2013,54.015
06,Cantabria,Volumen de agua disponible no potabilizada,2012,54.100
06,Cantabria,Volumen de agua disponible no potabilizada,2011,43.096
06,Cantabria,Volumen de agua disponible no potabilizada,2010,45.382
06,Cantabria,Volumen de agua disponible no potabilizada,2009,50.832
06,Cantabria,Volumen de agua disponible no potabilizada,2008,36.495
06,Cantabria,Volumen de agua disponible no potabilizada,2007,49.494
06,Cantabria,Volumen de agua disponible no potabilizada,2006,31.981
06,Cantabria,Volumen de agua disponible no potabilizada,2005,68.013
06,Cantabria,Volumen de agua disponible no potabilizada,2004,65.452
06,Cantabria,Volumen de agua disponible no potabilizada,2003,81.639
06,Cantabria,Volumen de agua disponible no potabilizada,2002,78.749
06,Cantabria,Volumen de agua disponible no potabilizada,2001,79.015
06,Cantabria,Volumen de agua disponible no potabilizada,2000,77.943
06,Cantabria,Volumen de agua disponible para su potabilización,2022,88.876
06,Cantabria,Volumen de agua disponible para su potabilización,2020,74.654
06,Cantabria,Volumen de agua disponible para su potabilización,2018,81.205
06,Cantabria,Volumen de agua disponible para su potabilización,2016,84.785
06,Cantabria,Volumen de agua disponible para su potabilización,2014,79.873
06,Cantabria,Volumen de agua disponible para su potabilización,2013,74.094
06,Cantabria,Volumen de agua disponible para su potabilización,2012,77.625
06,Cantabria,Volumen de agua disponible para su potabilización,2011,80.852
06,Cantabria,Volumen de agua disponible para su potabilización,2010,78.810
06,Cantabria,Volumen de agua disponible para su potabilización,2009,86.564
06,Cantabria,Volumen de agua disponible para su potabilización,2008,83.193
06,Cantabria,Volumen de agua disponible para su potabilización,2007,79.711
06,Cantabria,Volumen de agua disponible para su potabilización,2006,90.139
06,Cantabria,Volumen de agua disponible para su potabilización,2005,89.886
06,Cantabria,Volumen de agua disponible para su potabilización,2004,84.216
06,Cantabria,Volumen de agua disponible para su potabilización,2003,81.379
06,Cantabria,Volumen de agua disponible para su potabilización,2002,82.220
