code,region,tipo_de_destino,periodo,total
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2010,..
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2009,..
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2008,..
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2007,..
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2006,..
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2005,..
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2004,..
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2003,..
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2002,..
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2001,..
03,"Asturias, Principado de","Agricultura, silvicultura y jardinería",2000,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2022,"0,0"
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2020,"0,0"
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2018,"40,8"
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2016,"0,0"
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2014,"0,0"
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2013,"0,0"
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2012,"0,0"
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2011,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2010,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2009,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2008,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2007,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2006,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2005,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2004,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2003,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2002,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2001,..
03,"Asturias, Principado de",Incineración o aprovechamiento energético,2000,..
03,"Asturias, Principado de",Vertedero,2022,"49,6"
03,"Asturias, Principado de",Vertedero,2020,"78,1"
03,"Asturias, Principado de",Vertedero,2018,"55,0"
03,"Asturias, Principado de",Vertedero,2016,"100,0"
03,"Asturias, Principado de",Vertedero,2014,"32,0"
03,"Asturias, Principado de",Vertedero,2013,"100,0"
03,"Asturias, Principado de",Vertedero,2012,"100,0"
03,"Asturias, Principado de",Vertedero,2011,..
03,"Asturias, Principado de",Vertedero,2010,..
03,"Asturias, Principado de",Vertedero,2009,..
03,"Asturias, Principado de",Vertedero,2008,..
03,"Asturias, Principado de",Vertedero,2007,..
03,"Asturias, Principado de",Vertedero,2006,..
03,"Asturias, Principado de",Vertedero,2005,..
03,"Asturias, Principado de",Vertedero,2004,..
03,"Asturias, Principado de",Vertedero,2003,..
03,"Asturias, Principado de",Vertedero,2002,..
03,"Asturias, Principado de",Vertedero,2001,..
03,"Asturias, Principado de",Vertedero,2000,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2022,"36,6"
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2020,"45,0"
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2018,"60,5"
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2016,"61,4"
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2014,"27,6"
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2013,"38,5"
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2012,"71,0"
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2011,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2010,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2009,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2008,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2007,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2006,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2005,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2004,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2003,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2002,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2001,..
04,"Balears, Illes","Agricultura, silvicultura y jardinería",2000,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2022,"9,5"
04,"Balears, Illes",Incineración o aprovechamiento energético,2020,"52,1"
04,"Balears, Illes",Incineración o aprovechamiento energético,2018,"39,5"
04,"Balears, Illes",Incineración o aprovechamiento energético,2016,"38,6"
04,"Balears, Illes",Incineración o aprovechamiento energético,2014,"71,4"
04,"Balears, Illes",Incineración o aprovechamiento energético,2013,"61,5"
04,"Balears, Illes",Incineración o aprovechamiento energético,2012,"25,9"
04,"Balears, Illes",Incineración o aprovechamiento energético,2011,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2010,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2009,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2008,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2007,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2006,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2005,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2004,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2003,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2002,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2001,..
04,"Balears, Illes",Incineración o aprovechamiento energético,2000,..
04,"Balears, Illes",Vertedero,2022,"52,5"
04,"Balears, Illes",Vertedero,2020,"2,9"
04,"Balears, Illes",Vertedero,2018,"0,0"
04,"Balears, Illes",Vertedero,2016,"0,0"
04,"Balears, Illes",Vertedero,2014,"1,0"
04,"Balears, Illes",Vertedero,2013,"0,0"
04,"Balears, Illes",Vertedero,2012,"3,1"
04,"Balears, Illes",Vertedero,2011,..
04,"Balears, Illes",Vertedero,2010,..
04,"Balears, Illes",Vertedero,2009,..
04,"Balears, Illes",Vertedero,2008,..
04,"Balears, Illes",Vertedero,2007,..
04,"Balears, Illes",Vertedero,2006,..
04,"Balears, Illes",Vertedero,2005,..
04,"Balears, Illes",Vertedero,2004,..
04,"Balears, Illes",Vertedero,2003,..
04,"Balears, Illes",Vertedero,2002,..
04,"Balears, Illes",Vertedero,2001,..
04,"Balears, Illes",Vertedero,2000,..
05,Canarias,"Agricultura, silvicultura y jardinería",2022,"0,0"
05,Canarias,"Agricultura, silvicultura y jardinería",2020,"0,0"
05,Canarias,"Agricultura, silvicultura y jardinería",2018,"0,0"
05,Canarias,"Agricultura, silvicultura y jardinería",2016,"0,0"
05,Canarias,"Agricultura, silvicultura y jardinería",2014,"0,0"
05,Canarias,"Agricultura, silvicultura y jardinería",2013,"0,0"
05,Canarias,"Agricultura, silvicultura y jardinería",2012,"0,0"
05,Canarias,"Agricultura, silvicultura y jardinería",2011,..
05,Canarias,"Agricultura, silvicultura y jardinería",2010,..
05,Canarias,"Agricultura, silvicultura y jardinería",2009,..
05,Canarias,"Agricultura, silvicultura y jardinería",2008,..
05,Canarias,"Agricultura, silvicultura y jardinería",2007,..
05,Canarias,"Agricultura, silvicultura y jardinería",2006,..
05,Canarias,"Agricultura, silvicultura y jardinería",2005,..
05,Canarias,"Agricultura, silvicultura y jardinería",2004,..
05,Canarias,"Agricultura, silvicultura y jardinería",2003,..
05,Canarias,"Agricultura, silvicultura y jardinería",2002,..
05,Canarias,"Agricultura, silvicultura y jardinería",2001,..
05,Canarias,"Agricultura, silvicultura y jardinería",2000,..
05,Canarias,Incineración o aprovechamiento energético,2022,"54,3"
05,Canarias,Incineración o aprovechamiento energético,2020,"52,7"
05,Canarias,Incineración o aprovechamiento energético,2018,"11,3"
05,Canarias,Incineración o aprovechamiento energético,2016,"9,6"
05,Canarias,Incineración o aprovechamiento energético,2014,"13,8"
05,Canarias,Incineración o aprovechamiento energético,2013,"0,0"
05,Canarias,Incineración o aprovechamiento energético,2012,"0,0"
05,Canarias,Incineración o aprovechamiento energético,2011,..
05,Canarias,Incineración o aprovechamiento energético,2010,..
05,Canarias,Incineración o aprovechamiento energético,2009,..
05,Canarias,Incineración o aprovechamiento energético,2008,..
05,Canarias,Incineración o aprovechamiento energético,2007,..
05,Canarias,Incineración o aprovechamiento energético,2006,..
05,Canarias,Incineración o aprovechamiento energético,2005,..
05,Canarias,Incineración o aprovechamiento energético,2004,..
05,Canarias,Incineración o aprovechamiento energético,2003,..
05,Canarias,Incineración o aprovechamiento energético,2002,..
05,Canarias,Incineración o aprovechamiento energético,2001,..
05,Canarias,Incineración o aprovechamiento energético,2000,..
05,Canarias,Vertedero,2022,"45,7"
05,Canarias,Vertedero,2020,"47,3"
05,Canarias,Vertedero,2018,"88,7"
05,Canarias,Vertedero,2016,"90,4"
05,Canarias,Vertedero,2014,"86,2"
05,Canarias,Vertedero,2013,"100,0"
05,Canarias,Vertedero,2012,"100,0"
05,Canarias,Vertedero,2011,..
05,Canarias,Vertedero,2010,..
05,Canarias,Vertedero,2009,..
05,Canarias,Vertedero,2008,..
05,Canarias,Vertedero,2007,..
05,Canarias,Vertedero,2006,..
05,Canarias,Vertedero,2005,..
05,Canarias,Vertedero,2004,..
05,Canarias,Vertedero,2003,..
05,Canarias,Vertedero,2002,..
05,Canarias,Vertedero,2001,..
05,Canarias,Vertedero,2000,..
