region_code,region,tipo_de_indicador,periodo,total
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2010,586.083
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2009,634.697
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2008,664.876
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2007,674.428
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2006,765.376
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2005,839.417
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2004,784.226
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2003,737.567
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2002,702.959
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2001,694.716
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2000,667.280
01,Andalucía,Volumen de agua no registrada,2022,207.185
01,Andalucía,Volumen de agua no registrada,2020,220.806
01,Andalucía,Volumen de agua no registrada,2018,202.914
01,Andalucía,Volumen de agua no registrada,2016,218.489
01,Andalucía,Volumen de agua no registrada,2014,217.555
01,Andalucía,Volumen de agua no registrada,2013,210.770
01,Andalucía,Volumen de agua no registrada,2012,216.274
01,Andalucía,Volumen de agua no registrada,2011,215.167
01,Andalucía,Volumen de agua no registrada,2010,216.218
01,Andalucía,Volumen de agua no registrada,2009,233.157
01,Andalucía,Volumen de agua no registrada,2008,196.388
01,Andalucía,Volumen de agua no registrada,2007,204.941
01,Andalucía,Volumen de agua no registrada,2006,..
01,Andalucía,Volumen de agua no registrada,2005,..
01,Andalucía,Volumen de agua no registrada,2004,..
01,Andalucía,Volumen de agua no registrada,2003,..
01,Andalucía,Volumen de agua no registrada,2002,..
01,Andalucía,Volumen de agua no registrada,2001,..
01,Andalucía,Volumen de agua no registrada,2000,..
01,Andalucía,Pérdidas reales,2022,136.981
01,Andalucía,Pérdidas reales,2020,129.604
01,Andalucía,Pérdidas reales,2018,123.777
01,Andalucía,Pérdidas reales,2016,157.749
01,Andalucía,Pérdidas reales,2014,151.636
01,Andalucía,Pérdidas reales,2013,142.059
01,Andalucía,Pérdidas reales,2012,125.439
01,Andalucía,Pérdidas reales,2011,143.965
01,Andalucía,Pérdidas reales,2010,136.217
01,Andalucía,Pérdidas reales,2009,146.889
01,Andalucía,Pérdidas reales,2008,135.508
01,Andalucía,Pérdidas reales,2007,127.445
01,Andalucía,Pérdidas reales,2006,146.706
01,Andalucía,Pérdidas reales,2005,182.077
01,Andalucía,Pérdidas reales,2004,195.530
01,Andalucía,Pérdidas reales,2003,198.345
01,Andalucía,Pérdidas reales,2002,175.892
01,Andalucía,Pérdidas reales,2001,163.441
01,Andalucía,Pérdidas reales,2000,153.328
01,Andalucía,Pérdidas aparentes,2022,70.205
01,Andalucía,Pérdidas aparentes,2020,91.202
01,Andalucía,Pérdidas aparentes,2018,79.137
01,Andalucía,Pérdidas aparentes,2016,60.740
01,Andalucía,Pérdidas aparentes,2014,65.919
01,Andalucía,Pérdidas aparentes,2013,68.711
01,Andalucía,Pérdidas aparentes,2012,90.835
01,Andalucía,Pérdidas aparentes,2011,71.202
01,Andalucía,Pérdidas aparentes,2010,80.001
01,Andalucía,Pérdidas aparentes,2009,86.268
01,Andalucía,Pérdidas aparentes,2008,60.880
01,Andalucía,Pérdidas aparentes,2007,77.496
01,Andalucía,Pérdidas aparentes,2006,..
01,Andalucía,Pérdidas aparentes,2005,..
01,Andalucía,Pérdidas aparentes,2004,..
01,Andalucía,Pérdidas aparentes,2003,..
01,Andalucía,Pérdidas aparentes,2002,..
01,Andalucía,Pérdidas aparentes,2001,..
01,Andalucía,Pérdidas aparentes,2000,..
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2022,131.021
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2020,143.772
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2018,138.598
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2016,134.182
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2014,136.307
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2013,140.605
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2012,148.707
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2011,136.287
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2010,153.825
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2009,160.377
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2008,165.151
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2007,153.218
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2006,138.892
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2005,152.341
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2004,145.919
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2003,163.861
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2002,160.506
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2001,160.117
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2000,172.024
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2022,92.628
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2020,97.701
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2018,101.723
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2016,102.785
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2014,97.052
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2013,95.406
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2012,106.036
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2011,97.449
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2010,104.256
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2009,108.516
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2008,113.256
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2007,101.814
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2006,111.741
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2005,115.627
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2004,113.896
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2003,125.300
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2002,116.030
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2001,108.990
02,Aragón,Volumen total de agua registrada y distribuida por tipo de usuario,2000,110.567
02,Aragón,Volumen de agua no registrada,2022,38.393
02,Aragón,Volumen de agua no registrada,2020,46.071
02,Aragón,Volumen de agua no registrada,2018,36.875
02,Aragón,Volumen de agua no registrada,2016,31.397
02,Aragón,Volumen de agua no registrada,2014,39.255
02,Aragón,Volumen de agua no registrada,2013,45.199
02,Aragón,Volumen de agua no registrada,2012,42.671
02,Aragón,Volumen de agua no registrada,2011,38.838
02,Aragón,Volumen de agua no registrada,2010,49.569
02,Aragón,Volumen de agua no registrada,2009,51.861
02,Aragón,Volumen de agua no registrada,2008,51.895
02,Aragón,Volumen de agua no registrada,2007,51.404
02,Aragón,Volumen de agua no registrada,2006,..
02,Aragón,Volumen de agua no registrada,2005,..
02,Aragón,Volumen de agua no registrada,2004,..
02,Aragón,Volumen de agua no registrada,2003,..
02,Aragón,Volumen de agua no registrada,2002,..
02,Aragón,Volumen de agua no registrada,2001,..
02,Aragón,Volumen de agua no registrada,2000,..
02,Aragón,Pérdidas reales,2022,32.230
02,Aragón,Pérdidas reales,2020,30.386
02,Aragón,Pérdidas reales,2018,25.406
02,Aragón,Pérdidas reales,2016,22.386
02,Aragón,Pérdidas reales,2014,27.086
02,Aragón,Pérdidas reales,2013,28.249
02,Aragón,Pérdidas reales,2012,26.029
02,Aragón,Pérdidas reales,2011,27.575
02,Aragón,Pérdidas reales,2010,37.673
02,Aragón,Pérdidas reales,2009,36.821
02,Aragón,Pérdidas reales,2008,34.251
02,Aragón,Pérdidas reales,2007,32.899
02,Aragón,Pérdidas reales,2006,27.151
02,Aragón,Pérdidas reales,2005,36.714
02,Aragón,Pérdidas reales,2004,32.023
02,Aragón,Pérdidas reales,2003,38.561
02,Aragón,Pérdidas reales,2002,44.476
02,Aragón,Pérdidas reales,2001,51.127
02,Aragón,Pérdidas reales,2000,61.457
02,Aragón,Pérdidas aparentes,2022,6.163
02,Aragón,Pérdidas aparentes,2020,15.685
02,Aragón,Pérdidas aparentes,2018,11.469
02,Aragón,Pérdidas aparentes,2016,9.011
02,Aragón,Pérdidas aparentes,2014,12.169
02,Aragón,Pérdidas aparentes,2013,16.950
02,Aragón,Pérdidas aparentes,2012,16.642
02,Aragón,Pérdidas aparentes,2011,11.263
02,Aragón,Pérdidas aparentes,2010,11.896
02,Aragón,Pérdidas aparentes,2009,15.040
02,Aragón,Pérdidas aparentes,2008,17.644
02,Aragón,Pérdidas aparentes,2007,18.505
02,Aragón,Pérdidas aparentes,2006,..
02,Aragón,Pérdidas aparentes,2005,..
02,Aragón,Pérdidas aparentes,2004,..
02,Aragón,Pérdidas aparentes,2003,..
02,Aragón,Pérdidas aparentes,2002,..
02,Aragón,Pérdidas aparentes,2001,..
02,Aragón,Pérdidas aparentes,2000,..
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2022,115.726
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2020,103.915
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2018,104.933
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2016,120.402
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2014,114.172
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2013,116.005
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2012,115.033
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2011,120.245
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2010,121.519
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2009,123.506
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2008,128.172
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2007,132.891
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2006,121.227
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2005,120.886
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2004,128.458
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2003,116.928
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2002,109.460
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2001,116.221
03,"Asturias, Principado de",Volumen de agua suministrada a la red de abastecimiento público,2000,108.870
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2022,70.320
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2020,70.895
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2018,76.093
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2016,83.733
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2014,78.790
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2013,74.885
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2012,77.558
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2011,82.647
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2010,86.698
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2009,86.457
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2008,98.830
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2007,103.151
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2006,109.556
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2005,106.063
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2004,103.528
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2003,95.943
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2002,92.108
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2001,93.788
03,"Asturias, Principado de",Volumen total de agua registrada y distribuida por tipo de usuario,2000,83.173
03,"Asturias, Principado de",Volumen de agua no registrada,2022,45.407
03,"Asturias, Principado de",Volumen de agua no registrada,2020,33.020
03,"Asturias, Principado de",Volumen de agua no registrada,2018,28.840
03,"Asturias, Principado de",Volumen de agua no registrada,2016,36.669
03,"Asturias, Principado de",Volumen de agua no registrada,2014,35.382
03,"Asturias, Principado de",Volumen de agua no registrada,2013,41.120
03,"Asturias, Principado de",Volumen de agua no registrada,2012,37.475
03,"Asturias, Principado de",Volumen de agua no registrada,2011,37.598
03,"Asturias, Principado de",Volumen de agua no registrada,2010,34.821
03,"Asturias, Principado de",Volumen de agua no registrada,2009,37.049
03,"Asturias, Principado de",Volumen de agua no registrada,2008,29.342
03,"Asturias, Principado de",Volumen de agua no registrada,2007,29.740
03,"Asturias, Principado de",Volumen de agua no registrada,2006,..
03,"Asturias, Principado de",Volumen de agua no registrada,2005,..
03,"Asturias, Principado de",Volumen de agua no registrada,2004,..
03,"Asturias, Principado de",Volumen de agua no registrada,2003,..
03,"Asturias, Principado de",Volumen de agua no registrada,2002,..
03,"Asturias, Principado de",Volumen de agua no registrada,2001,..
03,"Asturias, Principado de",Volumen de agua no registrada,2000,..
03,"Asturias, Principado de",Pérdidas reales,2022,28.224
03,"Asturias, Principado de",Pérdidas reales,2020,20.269
03,"Asturias, Principado de",Pérdidas reales,2018,15.772
03,"Asturias, Principado de",Pérdidas reales,2016,20.994
03,"Asturias, Principado de",Pérdidas reales,2014,19.882
03,"Asturias, Principado de",Pérdidas reales,2013,23.557
03,"Asturias, Principado de",Pérdidas reales,2012,19.545
03,"Asturias, Principado de",Pérdidas reales,2011,23.138
03,"Asturias, Principado de",Pérdidas reales,2010,22.285
03,"Asturias, Principado de",Pérdidas reales,2009,24.453
