code,region,grupos_de_usuarios_e_importe,periodo,total
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2004,784.226
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2003,737.567
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2002,702.959
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2001,694.716
01,Andalucía,Volumen total de agua registrada y distribuida por tipo de usuario,2000,667.280
01,Andalucía,- Sectores económicos,2022,113.093
01,Andalucía,- Sectores económicos,2020,103.655
01,Andalucía,- Sectores económicos,2018,109.319
01,Andalucía,- Sectores económicos,2016,98.120
01,Andalucía,- Sectores económicos,2014,115.286
01,Andalucía,- Sectores económicos,2013,125.289
01,Andalucía,- Sectores económicos,2012,126.719
01,Andalucía,- Sectores económicos,2011,95.269
01,Andalucía,- Sectores económicos,2010,97.639
01,Andalucía,- Sectores económicos,2009,102.538
01,Andalucía,- Sectores económicos,2008,139.007
01,Andalucía,- Sectores económicos,2007,148.664
01,Andalucía,- Sectores económicos,2006,175.802
01,Andalucía,- Sectores económicos,2005,189.991
01,Andalucía,- Sectores económicos,2004,172.755
01,Andalucía,- Sectores económicos,2003,149.797
01,Andalucía,- Sectores económicos,2002,120.917
01,Andalucía,- Sectores económicos,2001,119.347
01,Andalucía,- Sectores económicos,2000,105.543
01,Andalucía,- Hogares,2022,435.906
01,Andalucía,- Hogares,2020,427.534
01,Andalucía,- Hogares,2018,392.141
01,Andalucía,- Hogares,2016,395.574
01,Andalucía,- Hogares,2014,386.102
01,Andalucía,- Hogares,2013,366.154
01,Andalucía,- Hogares,2012,389.257
01,Andalucía,- Hogares,2011,423.304
01,Andalucía,- Hogares,2010,429.266
01,Andalucía,- Hogares,2009,464.854
01,Andalucía,- Hogares,2008,460.019
01,Andalucía,- Hogares,2007,457.745
01,Andalucía,- Hogares,2006,513.383
01,Andalucía,- Hogares,2005,558.838
01,Andalucía,- Hogares,2004,530.514
01,Andalucía,- Hogares,2003,509.637
01,Andalucía,- Hogares,2002,501.159
01,Andalucía,- Hogares,2001,486.530
